source,target,Tipo,Linea,Accesible_PCD
Puebla,Pantitlan_9,Secuencial,9,0
Mixcoac_12,Insugentes_Sur,Secuencial,12,1
Insugentes_Sur,Hospital_20_de_Noviembre,Secuencial,12,1
Hospital_20_de_Noviembre,Zapata_12,Secuencial,12,1
Zapata_12,Parque_de_los_Venados,Secuencial,12,1
Parque_de_los_Venados,Eje_Central,Secuencial,12,1
Eje_Central,Ermita_12,Secuencial,12,1
Ermita_12,Mexilcalcingo,Secuencial,12,1
Mexilcalcingo,Atlalilco_12,Secuencial,12,1
Atlalilco_12,Culhuacan,Secuencial,12,1
Culhuacan,San_Andres_Tomatlan,Secuencial,12,1
San_Andres_Tomatlan,Lomas_Estrella,Secuencial,12,1
Lomas_Estrella,Calle_11,Secuencial,12,1
Calle_11,Periferico_Oriente,Secuencial,12,1
Periferico_Oriente,Tezonco,Secuencial,12,1
Tezonco,Olivos,Secuencial,12,1
Olivos,Nopalera,Secuencial,12,1
Nopalera,Zapotitlan_12,Secuencial,12,1
Zapotitlan_12,Tlaltenco,Secuencial,12,1
Tlaltenco,Tlahuac,Secuencial,12,1
Pantitlan_A,Agricola_Oriental,Secuencial,A,0
Agricola_Oriental,Canal_de_San_Juan,Secuencial,A,0
Canal_de_San_Juan,Tepalcates,Secuencial,A,0
Tepalcates,Guelatao,Secuencial,A,0
Guelatao,Penon_Viejo,Secuencial,A,0
Penon_Viejo,Acatitla,Secuencial,A,0
Acatitla,Santa_Martha,Secuencial,A,0
Santa_Martha,Los_Reyes,Secuencial,A,0
Los_Reyes,La_Paz,Secuencial,A,0
Buenavista,Guerrero_B,Secuencial,B,0
Guerrero_B,Garibaldi_B,Secuencial,B,0
Garibaldi_B,Lagunilla,Secuencial,B,0
Lagunilla,Tepito,Secuencial,B,0
Tepito,Morelos_B,Secuencial,B,0
Morelos_B,San_Lazaro_B,Secuencial,B,0
San_Lazaro_B,Ricardo_Flores_Magon,Secuencial,B,0
Ricardo_Flores_Magon,Romero_Rubio,Secuencial,B,0
Romero_Rubio,Oceania_B,Secuencial,B,0
Oceania_B,Deportivo_Oceania,Secuencial,B,0
Deportivo_Oceania,Bosque_de_Aragon,Secuencial,B,0
Bosque_de_Aragon,Villa_de_Aragon,Secuencial,B,0
Villa_de_Aragon,Nezahuacoyotl,Secuencial,B,0
Nezahuacoyotl,Impulsora,Secuencial,B,0
Impulsora,Rio_de_los_Remedios,Secuencial,B,0
Rio_de_los_Remedios,Muzquiz,Secuencial,B,0
Muzquiz,Ecatepec,Secuencial,B,0
Ecatepec,Olimpica,Secuencial,B,0
Olimpica,Plaza_Aragon,Secuencial,B,0
Plaza_Aragon,Ciudad_Azteca,Secuencial,B,0
Balderas_1,Balderas_3,Transbordo,1-3,1
Candelaria_1,Candelaria_4,Transbordo,1-4,0
Pantitlan_1,Pantitlan_5,Transbordo,1-5,0
Pantitlan_1,Pantitlan_9,Transbordo,1-9,0
Pantitlan_1,Pantitlan_A,Transbordo,1-A,0
Pantitlan_5,Pantitlan_9,Transbordo,5-9,0
Pantitlan_5,Pantitlan_A,Transbordo,5-A,0
Pantitlan_9,Pantitlan_A,Transbordo,9-A,0
Pino_Suarez_1,Pino_Suarez_2,Transbordo,1-2,1
Salto_del_Agua_1,Salto_del_Agua_8,Transbordo,1-8,0
San_Lazaro_1,San_Lazaro_B,Transbordo,1-B,0
Tacubaya_1,Tacubaya_7,Transbordo,1-7,0
Tacubaya_1,Tacubaya_9,Transbordo,1-9,0
Tacubaya_7,Tacubaya_9,Transbordo,7-9,0
Bellas_Artes_2,Bellas_Artes_8,Transbordo,2-8,0
Chabacano_9,Chabacano_2,Transbordo,9-2,1
Chabacano_9,Chabacano_8,Transbordo,9-8,0
Chabacano_2,Chabacano_8,Transbordo,2-8,0
Ermita_2,Ermita_12,Transbordo,2-12,1
Hidalgo_2,Hidalgo_3,Transbordo,2-3,0
Tacuba_2,Tacuba_7,Transbordo,2-7,0
Centro_Medico_3,Centro_Medico_9,Transbordo,3-9,1
Deportivo_18_de_Marzo_3,Deportivo_18_de_Marzo_6,Transbordo,3-6,0
Guerrero_3,Guerrero_B,Transbordo,3-B,0
La_Raza_3,La_Raza_5,Transbordo,3-5,0
Zapata_3,Zapata_12,Transbordo,3-12,0
Consulado_4,Consulado_5,Transbordo,4-5,0
Jamaica_4,Jamaica_9,Transbordo,4-9,0
Martin_Carrera_4,Martin_Carrera_6,Transbordo,4-6,0
Morelos_4,Morelos_B,Transbordo,4-B,0
Santa_Anita_4,Santa_Anita_8,Transbordo,4-8,0
Instituto_del_Petroleo_5,Instituto_del_Petroleo_6,Transbordo,5-6,0
Oceania_5,Oceania_B,Transbordo,5-B,0
El_Rosario_6,El_Rosario_7,Transbordo,6-7,0
Mixcoac_7,Mixcoac_12,Transbordo,7-12,0
Atlalilco_8,Atlalilco_12,Transbordo,8-12,0
Garibaldi_8,Garibaldi_B,Transbordo,8-B,0
