id,Linea,Orden,Tipo,Elevador,EE,Accesibilidad,Personas_Afectadas,lat,lng
Mexilcalcingo,12,8,Intermedia,Si,Si,Si,6068,19.3577,-99.1218
Atlalilco_12,12,9,Transbordo,Si,Si,Si,6436,19.356134,-99.101315
Culhuacan,12,10,Intermedia,Si,Si,Si,8342,19.337,-99.109
San_Andres_Tomatlan,12,11,Intermedia,Si,Si,Si,,19.3283,-99.1049
Lomas_Estrella,12,12,Intermedia,Si,Si,Si,6344,19.324,-99.095
Calle_11,12,13,Intermedia,Si,Si,Si,4600,19.3205,-99.0857
Periferico_Oriente,12,14,Intermedia,Si,Si,Si,,19.3177,-99.0746
Tezonco,12,15,Intermedia,Si,Si,Si,5365,19.306111,-99.065
Olivos,12,16,Intermedia,Si,Si,Si,5099,19.304167,-99.059722
Nopalera,12,17,Intermedia,Si,Si,Si,6070,19.3,-99.046667
Zapotitlan_12,12,18,Intermedia,Si,Si,Si,3855,19.296667,-99.034444
Tlaltenco,12,19,Intermedia,Si,Si,Si,2442,19.294167,-99.023889
Tlahuac,12,20,Terminal,Si,Si,Si,2385,19.286256,-99.014114
Pantitlan_A,A,1,Terminal_Transbordo,Si,No,No,4922,19.415359,-99.072132
Agricola_Oriental,A,2,Intermedia,No,No,No,8263,19.404835,-99.069901
Canal_de_San_Juan,A,3,Intermedia,No,No,No,6825,19.398683,-99.059365
Tepalcates,A,4,Intermedia,Si,No,No,4377,19.391335,-99.046383
Guelatao,A,5,Intermedia,No,No,No,4685,19.385162,-99.03574
Penon_Viejo,A,6,Intermedia,No,No,No,5097,19.37332,-99.017093
Acatitla,A,7,Intermedia,No,No,No,6082,19.364737,-99.005892
Santa_Martha,A,8,Intermedia,Si,No,No,4822,19.36,-98.994863
Los_Reyes,A,9,Terminal,No,No,No,0,19.358968,-98.976903
La_Paz,A,10,Terminal,Si,No,No,0,19.350526,-98.960745
Buenavista,B,1,Terminal,Si,No,No,9081,19.446603,-99.153199
Guerrero_B,B,2,Transbordo,No,Si,No,7925,19.445146,-99.145389
Garibaldi_B,B,3,Terminal_Transbordo,No,Si,No,8936,19.444458,-99.139724
Lagunilla,B,4,Intermedia,No,No,No,9145,19.443386,-99.131334
Tepito,B,5,Intermedia,No,No,No,10200,19.442495,-99.12333
Morelos_B,B,6,Transbordo,No,Si,No,8096,19.438974,-99.118266
San_Lazaro_B,B,7,Transbordo,Si,Si,Si,6750,19.430213,-99.114833
Ricardo_Flores_Magon,B,8,Intermedia,No,No,No,6598,19.436567,-99.103675
Romero_Rubio,B,9,Intermedia,No,No,No,6129,19.440735,-99.094362
Oceania_B,B,10,Transbordo,No,No,No,5861,19.445672,-99.087238
Deportivo_Oceania,B,11,Intermedia,No,No,No,2975,19.451034,-99.07917
Bosque_de_Aragon,B,12,Intermedia,No,No,No,3310,19.458115,-99.069192
Villa_de_Aragon,B,13,Intermedia,No,No,No,2098,19.461656,-99.061704
Nezahuacoyotl,B,14,Intermedia,No,No,No,1224,19.473066,-99.054537
Impulsora,B,15,Intermedia,No,No,No,0,19.485851,-99.048915
Rio_de_los_Remedios,B,16,Intermedia,No,No,No,0,19.490908,-99.046597
Muzquiz,B,17,Intermedia,No,No,No,0,19.501629,-99.042048
Ecatepec,B,18,Intermedia,Si,No,No,0,19.515301,-99.035997
Olimpica,B,19,Intermedia,No,No,No,0,19.521328,-99.033422
Plaza_Aragon,B,20,Intermedia,No,No,No,0,19.528447,-99.030118
Ciudad_Azteca,B,21,Terminal,Si,No,No,0,19.534595,-99.0275
